constituency,name,cdd_anom,cdd_trend,maxtmax_anom,pr_ann,pr_djf,pr_jja,rx5day_anom,rx5day_trend,txx_anom,txx_trend,t_anom,t_trend
E14000599,Bristol East,0.5615921,-0.34901386,0.62026024,0.09933634,0.11487363,0.08346376,-0.07323456,1.4125205,0.62026024,0.21569577,0.5350437,0.18564337
E14000600,Bristol North West,0.29710388,-0.4155397,0.57759094,0.100959025,0.116102956,0.08621216,1.2047577,1.4306996,0.57759094,0.22087306,0.5388241,0.18529189
E14000601,Bristol South,0.5615921,-0.301687,0.62026024,0.10003118,0.12041779,0.085253485,-0.07323456,1.4249885,0.62026024,0.21074197,0.5350437,0.1848566
E14000602,Bristol West,0.5615921,-0.34901386,0.62026024,0.09933634,0.11487363,0.08346376,-0.07323456,1.4125205,0.62026024,0.21569577,0.5350437,0.18564337
E14000603,Broadland,0.33695626,-0.13890594,0.48467922,0.0659475,0.04863647,0.062922664,-0.43967152,0.8615765,0.48467922,0.2032088,0.524259,0.21129411
E14000604,Bromley and Chislehurst,0.22028923,-0.30610192,0.5321903,0.06844363,0.07855411,0.07330785,0.48493576,0.7868383,0.5321903,0.3411427,0.5329199,0.21533719
E14000605,Bromsgrove,-0.072460175,-0.5672174,0.5363159,0.07833139,0.077670015,0.07108766,-1.303482,1.2059816,0.5363159,0.21688765,0.53385735,0.1979221
E14000606,Broxbourne,0.24202919,-0.31579584,0.51659775,0.06431461,0.07060477,0.06770496,0.6927223,0.8048827,0.51659775,0.329857,0.5301504,0.21676494
E14000607,Broxtowe,-0.18623161,-0.7583114,0.52446747,0.06670467,0.06232162,0.0738513,-0.820755,0.8307867,0.52446747,0.27454558,0.5318308,0.20463043
E14000608,Buckingham,0.29159433,-0.7314037,0.5081787,0.07446807,0.074691,0.07310997,-0.54371643,1.0224046,0.5081787,0.2838159,0.5300518,0.21179089
E14000609,Burnley,-0.2311573,-0.40382487,0.44719887,0.13325721,0.19774996,0.11720646,0.42949677,1.5770149,0.44719887,0.2535571,0.52536297,0.18291801
E14000610,Burton,-0.16739082,-0.5803244,0.5126114,0.08016066,0.088106476,0.07768683,-1.2598534,1.0160491,0.5126114,0.2257617,0.5316448,0.18882944
E14000611,Bury North,-0.42535877,-0.3291964,0.49061394,0.110091336,0.15867276,0.09444792,-1.0161057,1.2351333,0.49061394,0.2626639,0.5270262,0.18264206
E14000612,Bury South,-0.42535877,-0.3291964,0.49061394,0.110091336,0.15867276,0.09444792,-1.0161057,1.2351333,0.49061394,0.2626639,0.5270262,0.18264206
E14000613,Bury St Edmunds,0.5139489,-0.34380338,0.53171206,0.058944285,0.0646384,0.04849413,0.42737675,0.6579194,0.53171206,0.2633219,0.5275638,0.21965076
E14000614,Calder Valley,-0.19909358,-0.50173104,0.446198,0.10833758,0.14487822,0.105509624,0.4590416,1.2973382,0.446198,0.23447183,0.52774835,0.17839241
E14000615,Camberwell and Peckham,0.2420311,-0.295695,0.5138149,0.066155314,0.073684074,0.07224323,0.97501373,0.79629254,0.5138149,0.34017432,0.5349741,0.21804929
E14000616,Camborne and Redruth,0.572464,-0.45281386,0.5449047,0.08933585,0.09345433,0.07810547,-1.1460342,1.0376931,0.5449047,0.16289233,0.49988174,0.13762613
E14000617,Cambridge,0.5724621,-0.32488063,0.5247288,0.06123074,0.055827357,0.070329115,-1.0615959,0.7334403,0.5247288,0.2936904,0.5275793,0.2230267
E14000618,Cannock Chase,-0.06956673,-1.0054282,0.52228737,0.077010795,0.07774443,0.07151547,-1.9553146,1.0905321,0.52228737,0.22850864,0.5301523,0.19287662
E14000619,Canterbury,0.5699272,-0.03566491,0.5701113,0.0733728,0.098337255,0.04393076,3.819893,0.80098724,0.5701113,0.34803337,0.5238247,0.21703847
E14000620,Carlisle,-0.39239168,-0.74304414,0.42158604,0.12263284,0.22060274,0.09185346,1.1787796,1.2708588,0.42158604,0.25068906,0.5179007,0.16302247
E14000621,Carshalton and Wallington,0.59058,-0.45627967,0.59654427,0.070880316,0.08032563,0.07608502,0.26366425,0.82883185,0.59654427,0.33022943,0.5350418,0.21494526
E14000622,Castle Point,0.23840714,-0.32621688,0.58436584,0.07237189,0.08813439,0.06758913,1.0543137,0.79609543,0.58436584,0.28218117,0.52457714,0.2123707
E14000623,Central Devon,0.7003292,-0.17131586,0.5654058,0.099373244,0.11123611,0.08164934,-0.4744013,1.3402925,0.5654058,0.10002411,0.52687705,0.15956005
E14000624,Central Suffolk and North Ipswich,0.5450722,-0.45094687,0.5207508,0.06123755,0.06475638,0.05318562,0.3059494,0.7355223,0.5207508,0.23268771,0.5261551,0.21765625
E14000625,Charnwood,0.11304283,-0.65577215,0.52805614,0.06765088,0.06131416,0.07558237,-1.1764259,0.919511,0.52805614,0.27093267,0.5273061,0.20615765
E14000626,Chatham and Aylesford,0.3999958,-0.2728933,0.6756172,0.06814763,0.079728104,0.05856793,1.1929626,0.80599356,0.6756172,0.3498212,0.5299244,0.21644148
E14000627,Cheadle,-0.43913078,-0.40397596,0.44692802,0.09592348,0.13490853,0.07679241,-0.8702698,1.0967176,0.44692802,0.24962753,0.5211773,0.18435077
E14000628,Chelmsford,0.26159096,-0.08384549,0.60456467,0.062219523,0.071649864,0.056737334,0.12720108,0.66851985,0.60456467,0.31853396,0.52776814,0.213439
E14000629,Chelsea and Fulham,0.36304283,-0.4736843,0.53473854,0.06714262,0.07530594,0.07167853,1.0441818,0.81176245,0.53473854,0.33231527,0.53520393,0.21723123
E14000630,Cheltenham,0.11956787,-0.64940715,0.5777645,0.08982834,0.09210958,0.068166815,-0.24739075,1.3794607,0.5777645,0.21543504,0.5321703,0.19654727
E14000631,Chesham and Amersham,0.5807972,-0.6285855,0.5562315,0.06996984,0.07865508,0.06883215,-0.48278046,0.88986975,0.5562315,0.29483262,0.53245735,0.2123398
E14000632,Chesterfield,0.13695431,-0.7204848,0.49030876,0.07726754,0.073660955,0.09689486,-0.27705765,0.8766958,0.49030876,0.2629246,0.53202343,0.19797325
E14000633,Chichester,0.29159242,-0.26140848,0.57951087,0.096992455,0.1186386,0.079928935,0.61403656,1.242762,0.57951087,0.238254,0.5357441,0.19873658
E14000634,Chingford and Woodford Green,0.28695488,-0.041939273,0.52511215,0.06250667,0.06741703,0.069036365,1.2822189,0.77984047,0.52511215,0.34430867,0.52970505,0.21677734
E14000635,Chippenham,0.5637684,-0.52584636,0.59521484,0.091746226,0.11425933,0.07567252,-0.16518784,1.3013569,0.59521484,0.21079782,0.5344448,0.19137862
E14000636,Chipping Barnet,0.3927517,-0.48982826,0.5240307,0.06471398,0.07190154,0.06835701,0.89575577,0.81261945,0.5240307,0.33056468,0.53064823,0.2150338
E14000637,Chorley,-0.49999905,-0.634269,0.46466446,0.11885711,0.16290723,0.103394896,1.1916504,1.290308,0.46466446,0.26568088,0.5225334,0.1763213
E14000638,Christchurch,0.7884083,-0.51626104,0.506649,0.104022905,0.12636735,0.079509825,1.4355621,1.392257,0.506649,0.17848629,0.5372753,0.18402496
E14000639,Cities of London and Westminster,0.23478508,-0.4736843,0.5476093,0.06714262,0.07530594,0.07167853,1.011528,0.81176245,0.5476093,0.33231527,0.5339327,0.21723123
E14000640,City of Chester,-0.09565258,-0.35633746,0.5042629,0.08158226,0.08188508,0.072281,0.92912674,0.9383676,0.5042629,0.20694278,0.5249367,0.18456858
E14000641,City of Durham,-0.4775343,-0.45660782,0.28523254,0.07080233,0.07802993,0.07154513,0.21724701,0.782362,0.28523254,0.12871537,0.5195303,0.17369893
E14000642,Clacton,0.641304,0.0006752214,0.51719666,0.08069397,0.10599384,0.066089064,0.46604156,0.90077126,0.51719666,0.18010652,0.5287113,0.21545522
E14000643,Cleethorpes,-0.45072412,-0.46497846,0.33566284,0.070459336,0.045529455,0.09550993,0.45628357,0.77252734,0.33566284,0.11904983,0.51827335,0.1937245
E14000644,Colchester,0.4550724,-0.24270193,0.5428295,0.061281726,0.07406324,0.05114787,-0.2867241,0.59112084,0.5428295,0.19219309,0.52590084,0.21447839
E14000645,Colne Valley,-0.13695669,-0.48846596,0.4270153,0.095325954,0.117824465,0.09752455,-0.8683586,1.1537715,0.4270153,0.22110586,0.5282562,0.17463267
E14000646,Congleton,-0.2974639,-0.330997,0.46623325,0.08497387,0.10596907,0.06804257,-0.26909637,0.9704245,0.46623325,0.23407082,0.5201855,0.18892919
E14000647,Copeland,-0.3090577,-0.55085707,0.3610487,0.16833039,0.28448746,0.11937548,4.0497932,1.6222072,0.3610487,0.22773851,0.5140746,0.15199992
E14000648,Corby,0.26956558,-0.5153869,0.565783,0.06563454,0.048547182,0.08521864,-0.57068443,0.8531247,0.565783,0.26982456,0.5310168,0.21628442
E14000649,Coventry North East,-0.08332825,-0.5310073,0.5306301,0.07769502,0.07347953,0.077868395,-1.3844833,1.171247,0.5306301,0.241396,0.5293617,0.20154826
E14000650,Coventry North West,-0.19492531,-0.49551332,0.5375118,0.07801699,0.074923,0.07660649,-1.645874,1.1998541,0.5375118,0.24117252,0.5310612,0.20120652
E14000651,Coventry South,-0.19492531,-0.5132603,0.5375118,0.077856004,0.07420127,0.07723744,-1.645874,1.1855506,0.5375118,0.24128425,0.5310612,0.20137739
E14000652,Crawley,0.47681046,-0.12105822,0.6133156,0.08209679,0.10006113,0.0731355,0.3931427,0.95571095,0.6133156,0.27201283,0.5333433,0.21244624
E14000653,Crewe and Nantwich,-0.22391415,-0.40276244,0.47439957,0.079493396,0.09002868,0.06800224,0.5862503,0.9152996,0.47439957,0.22573997,0.52326584,0.19091411
E14000654,Croydon Central,0.6239147,-0.3346076,0.600399,0.070283964,0.08017228,0.0768718,-0.08610916,0.818026,0.600399,0.33685935,0.5349207,0.21497713
E14000655,Croydon North,0.2420311,-0.3346076,0.5138149,0.070283964,0.08017228,0.0768718,0.97501373,0.818026,0.5138149,0.33685935,0.5349741,0.21497713
E14000656,Croydon South,0.6239147,-0.33859283,0.600399,0.074088134,0.08631072,0.08071109,-0.08610916,0.8414226,0.600399,0.3392804,0.5349207,0.21508515
E14000657,Dagenham and Rainham,0.38985252,-0.3771654,0.53941727,0.06335498,0.07011952,0.06651565,1.0748253,0.7306674,0.53941727,0.34181315,0.5292425,0.21486677
E14000658,Darlington,-0.21232128,-0.46229526,0.40385818,0.0745699,0.09056926,0.07105804,-0.7561035,0.8311278,0.40385818,0.18548869,0.5266504,0.18555307
E14000659,Dartford,0.33297157,-0.5189903,0.5641117,0.06685695,0.076375455,0.06743478,0.7487335,0.77155197,0.5641117,0.3412917,0.5303664,0.2154328
E14000660,Daventry,0.042873066,-0.51734877,0.52266663,0.072520286,0.06497302,0.08067338,-0.3574308,1.0407252,0.52266663,0.2725275,0.5279843,0.20924693
E14000661,Denton and Reddish,-0.36304474,-0.23296553,0.46059036,0.0974389,0.13460787,0.08567727,-0.58234406,1.1249424,0.46059036,0.24843565,0.5228014,0.17964017
E14000662,Derby North,-0.19782448,-0.7083544,0.5279541,0.07231509,0.0736249,0.07442324,-1.2171822,0.93489707,0.5279541,0.25379917,0.5349722,0.19798386
E14000663,Derby South,-0.19782448,-0.7083544,0.5279541,0.07231509,0.0736249,0.07442324,-1.2171822,0.93489707,0.5279541,0.25379917,0.5349722,0.19798386
E14000664,Derbyshire Dales,-0.14653672,-0.44930598,0.4732984,0.08432004,0.100388885,0.082984686,-0.64462113,0.9937756,0.4732984,0.23646928,0.53151923,0.1851561
E14000665,Devizes,0.6000801,-0.29485455,0.61542535,0.084766686,0.10017479,0.07015761,0.26673254,1.1698202,0.61542535,0.23521304,0.53588516,0.19824678
E14000666,Dewsbury,-0.14203072,-0.4165266,0.45389748,0.08684282,0.095029175,0.09868236,-1.4456367,1.0419989,0.45389748,0.22754954,0.5292504,0.18394351
E14000667,Don Valley,-0.15193145,-0.73268485,0.51778156,0.0700015,0.0575813,0.09486008,-0.13820393,0.78704214,0.51778156,0.225203,0.52986974,0.2026204
E14000668,Doncaster Central,-0.24855042,-0.69936407,0.4984722,0.07151739,0.058192346,0.09812017,-0.5819168,0.80653065,0.4984722,0.23387216,0.5294113,0.2029896
E14000669,Doncaster North,0.023552418,-0.68581706,0.50965023,0.07364378,0.06160785,0.099156894,-0.8887615,0.82408017,0.50965023,0.24630016,0.5291662,0.20172219
E14000670,Dover,0.5630436,0.1722995,0.5354786,0.08342747,0.12064205,0.045436304,2.8011703,0.89977026,0.5354786,0.3274359,0.52524567,0.21845417
E14000671,Dudley North,0.031887054,-0.66747755,0.56772995,0.077100806,0.07743049,0.06954323,-1.2735596,1.145264,0.56772995,0.20433553,0.5305815,0.19555509
E14000672,Dudley South,0.027534485,-0.66747755,0.5648689,0.077100806,0.07743049,0.06954323,-0.70685196,1.145264,0.5648689,0.20433553,0.5336933,0.19555509
E14000673,Dulwich and West Norwood,0.2420311,-0.3346076,0.5138149,0.070283964,0.08017228,0.0768718,0.97501373,0.818026,0.5138149,0.33685935,0.5349741,0.21497713
E14000674,Ealing Central and Acton,0.32970428,-0.52229553,0.550724,0.06802058,0.0767384,0.07102706,0.5138931,0.8318751,0.550724,0.32363677,0.5336008,0.21496592
E14000675,Ealing North,0.32970428,-0.6628077,0.550724,0.06862926,0.07807492,0.07000936,0.5138931,0.8407049,0.550724,0.3184967,0.5336008,0.21428895
E14000676,"Ealing, Southall",0.32970428,-0.6628077,0.550724,0.06862926,0.07807492,0.07000936,0.5138931,0.8407049,0.550724,0.3184967,0.5336008,0.21428895
E14000677,Easington,-0.38768196,-0.6288955,0.36419678,0.066952415,0.06837666,0.06891478,-0.9850693,0.7373948,0.36419678,0.113677,0.51553535,0.17234671
E14000678,East Devon,1.1157011,-0.10770252,0.49375978,0.08689827,0.08216149,0.06789234,-1.0152537,1.2189319,0.49375978,0.14032702,0.5300916,0.17409292
E14000679,East Ham,0.28695488,-0.20952639,0.52511215,0.06514086,0.07210749,0.07278432,1.2822189,0.77992433,0.52511215,0.3499702,0.52970505,0.21788462
E14000680,East Hampshire,0.18605185,-0.2698751,0.5960183,0.08386964,0.099539734,0.07288353,0.43361187,1.0399383,0.5960183,0.25883493,0.53725576,0.2040689
E14000681,East Surrey,0.5601444,-0.23283687,0.6075001,0.07622443,0.09093732,0.07933383,-0.300272,0.86179996,0.6075001,0.32550842,0.53444004,0.214641
E14000682,East Worthing and Shoreham,0.057970047,-0.15754378,0.5347748,0.09497735,0.116316736,0.07294036,2.1069794,1.1950922,0.5347748,0.23469159,0.52451897,0.2028385
E14000683,East Yorkshire,-0.47780836,-0.4854703,0.41582608,0.07038801,0.05835596,0.08305148,0.5928521,0.72811943,0.41582608,0.14379841,0.5168394,0.18633105
E14000684,Eastbourne,0.38333702,0.22528312,0.48363686,0.106175244,0.14248563,0.055124573,1.998497,1.3047768,0.48363686,0.25464654,0.51328087,0.20912178
E14000685,Eastleigh,0.5188408,-0.13879341,0.55734634,0.09497986,0.11663555,0.073976286,0.77204895,1.2226051,0.55734634,0.23878874,0.53673744,0.1919063
E14000686,Eddisbury,-0.1140583,-0.43174934,0.49665755,0.07884282,0.08159949,0.07068271,0.16359481,0.9227519,0.49665755,0.22144109,0.5264002,0.19092965
E14000687,Edmonton,0.24202919,-0.22260584,0.51659775,0.063587815,0.069737695,0.06860402,0.6927223,0.7967966,0.51659775,0.33875895,0.5301504,0.21594808
E14000688,Ellesmere Port and Neston,-0.3471012,-0.440844,0.4548664,0.090470225,0.09065983,0.07786869,3.3830414,1.0309875,0.4548664,0.20634684,0.52455044,0.17132266
E14000689,Elmet and Rothwell,0.08913231,-0.73586226,0.45991325,0.07798905,0.0784226,0.09274397,0.09921646,0.9441467,0.45991325,0.2154723,0.5273495,0.1956017
