Forename,Surname,Name (Display as),Name (List as),Party,Constituency,Email,Address 1,Address 2,Postcode
Claire,Hanna,Claire Hanna,"Hanna, Claire",Social Democratic & Labour Party,Belfast South,claire.hanna.mp@parliament.uk,House of Commons,London,SW1A 0AA
Paul,Maskey,Paul Maskey,"Maskey, Paul",Sinn Féin,Belfast West,paul.maskey.mp@parliament.uk,House of Commons,London,SW1A 0AA
Neil,Coyle,Neil Coyle,"Coyle, Neil",Independent,Bermondsey and Old Southwark,neil.coyle.mp@parliament.uk,House of Commons,London,SW1A 0AA
John,Lamont,John Lamont,"Lamont, John",Conservative,"Berwickshire, Roxburgh and Selkirk",john.lamont.mp@parliament.uk,House of Commons,London,SW1A 0AA
Anne-Marie,Trevelyan,Anne-Marie Trevelyan,"Trevelyan, Anne-Marie",Conservative,Berwick-upon-Tweed,annemarie.trevelyan.mp@parliament.uk,House of Commons,London,SW1A 0AA
Rushanara,Ali,Rushanara Ali,"Ali, Rushanara",Labour,Bethnal Green and Bow,rushanara.ali.mp@parliament.uk,House of Commons,London,SW1A 0AA
Graham,Stuart,Graham Stuart,"Stuart, Graham",Conservative,Beverley and Holderness,grahamstuartmp@parliament.uk,House of Commons,London,SW1A 0AA
Huw,Merriman,Huw Merriman,"Merriman, Huw",Conservative,Bexhill and Battle,huw.merriman.mp@parliament.uk,House of Commons,London,SW1A 0AA
David,Evennett,Sir David Evennett,"Evennett, Sir David",Conservative,Bexleyheath and Crayford,david.evennett.mp@parliament.uk,House of Commons,London,SW1A 0AA
Michael,Whitley,Mick Whitley,"Whitley, Mick",Labour,Birkenhead,mick.whitley.mp@parliament.uk,House of Commons,London,SW1A 0AA
Preet,Gill,Preet Kaur Gill,"Gill, Preet Kaur",Labour,"Birmingham, Edgbaston",preet.gill.mp@parliament.uk,House of Commons,London,SW1A 0AA
Paulette,Hamilton,Mrs Paulette Hamilton,"Hamilton, Mrs Paulette",Labour,"Birmingham, Erdington",paulette.hamilton.mp@parliament.uk,House of Commons,London,SW1A 0AA
Tahir,Ali,Tahir Ali,"Ali, Tahir",Labour,"Birmingham, Hall Green",tahir.ali.mp@parliament.uk,House of Commons,London,SW1A 0AA
Liam,Byrne,Liam Byrne,"Byrne, Liam",Labour,"Birmingham, Hodge Hill",byrnel@parliament.uk,House of Commons,London,SW1A 0AA
Shabana,Mahmood,Shabana Mahmood,"Mahmood, Shabana",Labour,"Birmingham, Ladywood",shabana.mahmood.mp@parliament.uk,House of Commons,London,SW1A 0AA
Gary,Sambrook,Gary Sambrook,"Sambrook, Gary",Conservative,"Birmingham, Northfield",gary.sambrook.mp@parliament.uk,House of Commons,London,SW1A 0AA
Khalid,Mahmood,Mr Khalid Mahmood,"Mahmood, Mr Khalid",Labour,"Birmingham, Perry Barr",mahmoodk@parliament.uk,House of Commons,London,SW1A 0AA
Stephen,McCabe,Steve McCabe,"McCabe, Steve",Labour,"Birmingham, Selly Oak",mccabes@parliament.uk,House of Commons,London,SW1A 0AA
Jessica,Phillips,Jess Phillips,"Phillips, Jess",Labour,"Birmingham, Yardley",jess.phillips.mp@parliament.uk,House of Commons,London,SW1A 0AA
Dehenna,Fareham,Dehenna Davison,"Davison, Dehenna",Conservative,Bishop Auckland,dehenna.davison.mp@parliament.uk,House of Commons,London,SW1A 0AA
Catherine,Hollern,Kate Hollern,"Hollern, Kate",Labour,Blackburn,kate.hollern.mp@parliament.uk,House of Commons,London,SW1A 0AA
Graham,Stringer,Graham Stringer,"Stringer, Graham",Labour,Blackley and Broughton,graham.stringer.mp@parliament.uk,House of Commons,London,SW1A 0AA
Paul,Maynard,Paul Maynard,"Maynard, Paul",Conservative,Blackpool North and Cleveleys,paul.maynard.mp@parliament.uk,House of Commons,London,SW1A 0AA
Scott,Benton,Scott Benton,"Benton, Scott",Conservative,Blackpool South,scott.benton.mp@parliament.uk,House of Commons,London,SW1A 0AA
Nicholas,Smith,Nick Smith,"Smith, Nick",Labour,Blaenau Gwent,nick.smith.mp@parliament.uk,House of Commons,London,SW1A 0AA
Mary,Twist,Liz Twist,"Twist, Liz",Labour,Blaydon,liz.twist.mp@parliament.uk,House of Commons,London,SW1A 0AA
Ian,Levy,Ian Levy,"Levy, Ian",Conservative,Blyth Valley,ian.levy.mp@parliament.uk,House of Commons,London,SW1A 0AA
Nicolas,Gibb,Nick Gibb,"Gibb, Nick",Conservative,Bognor Regis and Littlehampton,gibbn@parliament.uk,House of Commons,London,SW1A 0AA
Mark,Fletcher,Mark Fletcher,"Fletcher, Mark",Conservative,Bolsover,mark.fletcher.mp@parliament.uk,House of Commons,London,SW1A 0AA
Mark,Logan,Mark Logan,"Logan, Mark",Conservative,Bolton North East,mark.logan.mp@parliament.uk,House of Commons,London,SW1A 0AA
Yasmin ,Qureshi,Yasmin Qureshi,"Qureshi, Yasmin",Labour,Bolton South East,yasmin.qureshi.mp@parliament.uk,House of Commons,London,SW1A 0AA
Christopher,Green,Chris Green,"Green, Chris",Conservative,Bolton West,chris.green.mp@parliament.uk,House of Commons,London,SW1A 0AA
Peter,Dowd,Peter Dowd,"Dowd, Peter",Labour,Bootle,peter.dowd.mp@parliament.uk,House of Commons,London,SW1A 0AA
Matthew,Warman,Matt Warman,"Warman, Matt",Conservative,Boston and Skegness,matt.warman.mp@parliament.uk,House of Commons,London,SW1A 0AA
Luke,Evans,Dr Luke Evans,"Evans, Dr Luke",Conservative,Bosworth,luke.evans.mp@parliament.uk,House of Commons,London,SW1A 0AA
Tobias,Ellwood,Mr Tobias Ellwood,"Ellwood, Mr Tobias",Conservative,Bournemouth East,tobias.ellwood.mp@parliament.uk,House of Commons,London,SW1A 0AA
Conor,Burns,Conor Burns,"Burns, Conor",Independent,Bournemouth West,conor.burns.mp@parliament.uk,House of Commons,London,SW1A 0AA
James,Sunderland,James Sunderland,"Sunderland, James",Conservative,Bracknell,james.sunderland.mp@parliament.uk,House of Commons,London,SW1A 0AA
Imran,Hussain,Imran Hussain,"Hussain, Imran",Labour,Bradford East,imran.hussain.mp@parliament.uk,House of Commons,London,SW1A 0AA
Judith,Cummins,Judith Cummins,"Cummins, Judith",Labour,Bradford South,judith.cummins.mp@parliament.uk,House of Commons,London,SW1A 0AA
Naseem,Shah,Naz Shah,"Shah, Naz",Labour,Bradford West,naz.shah.mp@parliament.uk,House of Commons,London,SW1A 0AA
James,Cleverly,James Cleverly,"Cleverly, James",Conservative,Braintree,james.cleverly.mp@parliament.uk,House of Commons,London,SW1A 0AA
Fay,Jones,Fay Jones,"Jones, Fay",Conservative,Brecon and Radnorshire,fay.jones.mp@parliament.uk,House of Commons,London,SW1A 0AA
Dawn,Butler,Dawn Butler,"Butler, Dawn",Labour,Brent Central,dawn.butler.mp@parliament.uk,House of Commons,London,SW1A 0AA
Barry,Gardiner,Barry Gardiner,"Gardiner, Barry",Labour,Brent North,gardinerb@parliament.uk,House of Commons,London,SW1A 0AA
Ruth,Cadbury,Ruth Cadbury,"Cadbury, Ruth",Labour,Brentford and Isleworth,ruthcadburymp@parliament.uk,House of Commons,London,SW1A 0AA
Michael,Burghart,Alex Burghart,"Burghart, Alex",Conservative,Brentwood and Ongar,alex.burghart.mp@parliament.uk,House of Commons,London,SW1A 0AA
Jamie,Wallis,Dr Jamie Wallis,"Wallis, Dr Jamie",Conservative,Bridgend,jamie.wallis.mp@parliament.uk,House of Commons,London,SW1A 0AA
Ian,Liddell-Grainger,Mr Ian Liddell-Grainger,"Liddell-Grainger, Mr Ian",Conservative,Bridgwater and West Somerset,ianlg@parliament.uk,House of Commons,London,SW1A 0AA
Andrew,Percy,Andrew Percy,"Percy, Andrew",Conservative,Brigg and Goole,andrew.percy.mp@parliament.uk,House of Commons,London,SW1A 0AA
Lloyd,Russell-Moyle,Lloyd Russell-Moyle,"Russell-Moyle, Lloyd",Labour,"Brighton, Kemptown",lloyd.russellmoyle.mp@parliament.uk,House of Commons,London,SW1A 0AA
Caroline,Lucas,Caroline Lucas,"Lucas, Caroline",Green Party,"Brighton, Pavilion",caroline.lucas.mp@parliament.uk,House of Commons,London,SW1A 0AA
Kerry,McCarthy,Kerry McCarthy,"McCarthy, Kerry",Labour,Bristol East,kerry.mccarthy.mp@parliament.uk,House of Commons,London,SW1A 0AA
Darren,Jones,Darren Jones,"Jones, Darren",Labour,Bristol North West,darren.jones.mp@parliament.uk,House of Commons,London,SW1A 0AA
Karin,Smyth,Karin Smyth,"Smyth, Karin",Labour,Bristol South,karin.smyth.mp@parliament.uk,House of Commons,London,SW1A 0AA
Thangam,Debbonaire,Thangam Debbonaire,"Debbonaire, Thangam",Labour,Bristol West,thangam.debbonaire.mp@parliament.uk,House of Commons,London,SW1A 0AA
Jerome,Mayhew,Jerome Mayhew,"Mayhew, Jerome",Conservative,Broadland,jerome.mayhew.mp@parliament.uk,House of Commons,London,SW1A 0AA
Robert,Neill,Sir Robert Neill,"Neill, Sir Robert",Conservative,Bromley and Chislehurst,bob.neill.mp@parliament.uk,House of Commons,London,SW1A 0AA
Sajid,Javid,Sajid Javid,"Javid, Sajid",Conservative,Bromsgrove,sajid.javid.mp@parliament.uk,House of Commons,London,SW1A 0AA
Charles,Walker,Sir Charles Walker,"Walker, Sir Charles",Conservative,Broxbourne,charles.walker.mp@parliament.uk,House of Commons,London,SW1A 0AA
Darren,Henry,Darren Henry,"Henry, Darren",Conservative,Broxtowe,darren.henry.mp@parliament.uk,House of Commons,London,SW1A 0AA
Greg,Smith,Greg Smith,"Smith, Greg",Conservative,Buckingham,greg.smith.mp@parliament.uk,House of Commons,London,SW1A 0AA
Antony,Higginbotham,Antony Higginbotham,"Higginbotham, Antony",Conservative,Burnley,antony.higginbotham.mp@parliament.uk,House of Commons,London,SW1A 0AA
Kate,Kniveton,Kate Kniveton,"Kniveton, Kate",Conservative,Burton,kate.griffiths.mp@parliament.uk,House of Commons,London,SW1A 0AA
James,Daly,James Daly,"Daly, James",Conservative,Bury North,james.daly.mp@parliament.uk,House of Commons,London,SW1A 0AA
Christian,Wakeford,Christian Wakeford,"Wakeford, Christian",Labour,Bury South,christian.wakeford.mp@parliament.uk,House of Commons,London,SW1A 0AA
Johanna,Churchill,Jo Churchill,"Churchill, Jo",Conservative,Bury St Edmunds,jo.churchill.mp@parliament.uk,House of Commons,London,SW1A 0AA
Wayne,David,Wayne David,"David, Wayne",Labour,Caerphilly,davidw@parliament.uk,House of Commons,London,SW1A 0AA
Jamie,Stone,Jamie Stone,"Stone, Jamie",Liberal Democrat,"Caithness, Sutherland and Easter Ross",jamie.stone.mp@parliament.uk,House of Commons,London,SW1A 0AA
Craig,Whittaker,Craig Whittaker,"Whittaker, Craig",Conservative,Calder Valley,craig.whittaker.mp@parliament.uk,House of Commons,London,SW1A 0AA
Harriet,Harman,Ms Harriet Harman,"Harman, Ms Harriet",Labour,Camberwell and Peckham,harriet.harman.mp@parliament.uk,House of Commons,London,SW1A 0AA
Charles,Eustice,George Eustice,"Eustice, George",Conservative,Camborne and Redruth,george.eustice.mp@parliament.uk,House of Commons,London,SW1A 0AA
Daniel,Zeichner,Daniel Zeichner,"Zeichner, Daniel",Labour,Cambridge,,House of Commons,London,SW1A 0AA
Amanda,Milling,Amanda Milling,"Milling, Amanda",Conservative,Cannock Chase,amanda.milling.mp@parliament.uk,House of Commons,London,SW1A 0AA
Rosemary,Duffield,Rosie Duffield,"Duffield, Rosie",Labour,Canterbury,rosie.duffield.mp@parliament.uk,House of Commons,London,SW1A 0AA
Joanna,Stevens,Jo Stevens,"Stevens, Jo",Labour,Cardiff Central,jo.stevens.mp@parliament.uk,House of Commons,London,SW1A 0AA
Anna,McMorrin,Anna McMorrin,"McMorrin, Anna",Labour,Cardiff North,anna.mcmorrin.mp@parliament.uk,House of Commons,London,SW1A 0AA
Stephen,Doughty,Stephen Doughty,"Doughty, Stephen",Labour,Cardiff South and Penarth,stephen.doughty.mp@parliament.uk,House of Commons,London,SW1A 0AA
Kevin,Brennan,Kevin Brennan,"Brennan, Kevin",Labour,Cardiff West,brennank@parliament.uk,House of Commons,London,SW1A 0AA
Andrew,Stevenson,John Stevenson,"Stevenson, John",Conservative,Carlisle,,House of Commons,London,SW1A 0AA
David,Edwards,Jonathan Edwards,"Edwards, Jonathan",Independent,Carmarthen East and Dinefwr,jonathan.edwards.mp@parliament.uk,House of Commons,London,SW1A 0AA
Simon,Hart,Simon Hart,"Hart, Simon",Conservative,Carmarthen West and South Pembrokeshire,simon.hart.mp@parliament.uk,House of Commons,London,SW1A 0AA
Elliot,Colburn,Elliot Colburn,"Colburn, Elliot",Conservative,Carshalton and Wallington,elliot.colburn.mp@parliament.uk,House of Commons,London,SW1A 0AA
Rebecca ,Harris,Rebecca Harris,"Harris, Rebecca",Conservative,Castle Point,rebecca.harris.mp@parliament.uk,House of Commons,London,SW1A 0AA
Philippa,Whitford,Dr Philippa Whitford,"Whitford, Dr Philippa",Scottish National Party,Central Ayrshire,philippa.whitford.mp@parliament.uk,House of Commons,London,SW1A 0AA
Melvyn,Stride,Mel Stride,"Stride, Mel",Conservative,Central Devon,mel.stride.mp@parliament.uk,House of Commons,London,SW1A 0AA
Daniel,Poulter,Dr Dan Poulter,"Poulter, Dr Dan",Conservative,Central Suffolk and North Ipswich,daniel.poulter.mp@parliament.uk,House of Commons,London,SW1A 0AA
Ben,Lake,Ben Lake,"Lake, Ben",Plaid Cymru,Ceredigion,ben.lake.mp@parliament.uk,House of Commons,London,SW1A 0AA
Edward,Argar,Edward Argar,"Argar, Edward",Conservative,Charnwood,edward.argar.mp@parliament.uk,House of Commons,London,SW1A 0AA
Tracey,Crouch,Tracey Crouch,"Crouch, Tracey",Conservative,Chatham and Aylesford,tracey.crouch.mp@parliament.uk,House of Commons,London,SW1A 0AA
Mary,Robinson,Mary Robinson,"Robinson, Mary",Conservative,Cheadle,mary.robinson.mp@parliament.uk,House of Commons,London,SW1A 0AA
Victoria,Ford,Vicky Ford,"Ford, Vicky",Conservative,Chelmsford,vicky.ford.mp@parliament.uk,House of Commons,London,SW1A 0AA
Gregory,Hands,Greg Hands,"Hands, Greg",Conservative,Chelsea and Fulham,handsg@parliament.uk,House of Commons,London,SW1A 0AA
Alexander,Chalk,Alex Chalk,"Chalk, Alex",Conservative,Cheltenham,alex.chalk.mp@parliament.uk,House of Commons,London,SW1A 0AA
Sarah,Green,Sarah Green,"Green, Sarah",Liberal Democrat,Chesham and Amersham,sarah.green.mp@parliament.uk,House of Commons,London,SW1A 0AA
Matthew,Perkins,Mr Toby Perkins,"Perkins, Mr Toby",Labour,Chesterfield,toby.perkins.mp@parliament.uk,House of Commons,London,SW1A 0AA
Gillian,Keegan,Gillian Keegan,"Keegan, Gillian",Conservative,Chichester,gillian.keegan.mp@parliament.uk,House of Commons,London,SW1A 0AA
George,Duncan Smith,Sir Iain Duncan Smith,"Duncan Smith, Sir Iain",Conservative,Chingford and Woodford Green,Iain.duncansmith.mp@parliament.uk,House of Commons,London,SW1A 0AA
Michelle,Donelan,Michelle Donelan,"Donelan, Michelle",Conservative,Chippenham,michelle.donelan.mp@parliament.uk,House of Commons,London,SW1A 0AA
Theresa,Villiers,Theresa Villiers,"Villiers, Theresa",Conservative,Chipping Barnet,,House of Commons,London,SW1A 0AA
Lindsay,Hoyle,Sir Lindsay Hoyle,"Hoyle, Sir Lindsay",Speaker,Chorley,Lindsay.hoyle.mp@parliament.uk,House of Commons,London,SW1A 0AA
Christopher,Chope,Sir Christopher Chope,"Chope, Sir Christopher",Conservative,Christchurch,chopec@parliament.uk,House of Commons,London,SW1A 0AA
Nicola ,Aiken,Nickie Aiken,"Aiken, Nickie",Conservative,Cities of London and Westminster,nickie.aiken.mp@parliament.uk,House of Commons,London,SW1A 0AA
Mary,Foy,Mary Kelly Foy,"Foy, Mary Kelly",Labour,City of Durham,mary.foy.mp@parliament.uk,House of Commons,London,SW1A 0AA
Giles,Watling,Giles Watling,"Watling, Giles",Conservative,Clacton,giles.watling.mp@parliament.uk,House of Commons,London,SW1A 0AA
Martin,Vickers,Martin Vickers,"Vickers, Martin",Conservative,Cleethorpes,martin.vickers.mp@parliament.uk,House of Commons,London,SW1A 0AA
Simon,Baynes,Simon Baynes,"Baynes, Simon",Conservative,Clwyd South,simon.baynes.mp@parliament.uk,House of Commons,London,SW1A 0AA
David,Jones,Mr David Jones,"Jones, Mr David",Conservative,Clwyd West,officeofdavidjonesmp@parliament.uk,House of Commons,London,SW1A 0AA
Steven,Bonnar,Steven Bonnar,"Bonnar, Steven",Scottish National Party,"Coatbridge, Chryston and Bellshill",steven.bonnar.mp@parliament.uk,House of Commons,London,SW1A 0AA
William,Quince,Will Quince,"Quince, Will",Conservative,Colchester,will.quince.mp@parliament.uk,House of Commons,London,SW1A 0AA
Jason,McCartney,Jason McCartney,"McCartney, Jason",Conservative,Colne Valley,jason.mccartney.mp@parliament.uk,House of Commons,London,SW1A 0AA
Fiona,Bruce,Fiona Bruce,"Bruce, Fiona",Conservative,Congleton,fiona.bruce.mp@parliament.uk,House of Commons,London,SW1A 0AA
Trudy,Harrison,Trudy Harrison,"Harrison, Trudy",Conservative,Copeland,trudy.harrison.mp@parliament.uk,House of Commons,London,SW1A 0AA
Thomas,Pursglove,Tom Pursglove,"Pursglove, Tom",Conservative,Corby,tom.pursglove.mp@parliament.uk,House of Commons,London,SW1A 0AA
Colleen,Fletcher,Colleen Fletcher,"Fletcher, Colleen",Labour,Coventry North East,colleen.fletcher.mp@parliament.uk,House of Commons,London,SW1A 0AA
Taiwo,Owatemi,Taiwo Owatemi,"Owatemi, Taiwo",Labour,Coventry North West,taiwo.owatemi.mp@parliament.uk,House of Commons,London,SW1A 0AA
Zarah,Sultana,Zarah Sultana,"Sultana, Zarah",Labour,Coventry South,zarah.sultana.mp@parliament.uk,House of Commons,London,SW1A 0AA
Henry,Smith,Henry Smith,"Smith, Henry",Conservative,Crawley,henry.smith.mp@parliament.uk,House of Commons,London,SW1A 0AA
Kieran,Mullan,Dr Kieran Mullan,"Mullan, Dr Kieran",Conservative,Crewe and Nantwich,kieran.mullan.mp@parliament.uk,House of Commons,London,SW1A 0AA
Sarah,Jones,Sarah Jones,"Jones, Sarah",Labour,Croydon Central,sarah.jones.mp@parliament.uk,House of Commons,London,SW1A 0AA
Steven,Reed,Steve Reed,"Reed, Steve",Labour,Croydon North,steve.reed.mp@parliament.uk,House of Commons,London,SW1A 0AA
Chris,Philp,Chris Philp,"Philp, Chris",Conservative,Croydon South,chris.philp.mp@parliament.uk,House of Commons,London,SW1A 0AA
Stuart,McDonald,Stuart C McDonald,"McDonald, Stuart C",Scottish National Party,"Cumbernauld, Kilsyth and Kirkintilloch East",stuart.mcdonald.mp@parliament.uk,House of Commons,London,SW1A 0AA
Bethan,Winter,Beth Winter,"Winter, Beth",Labour,Cynon Valley,beth.winter.mp@parliament.uk,House of Commons,London,SW1A 0AA
Jonathan,Cruddas,Jon Cruddas,"Cruddas, Jon",Labour,Dagenham and Rainham,cruddasj@parliament.uk,House of Commons,London,SW1A 0AA
Peter,Gibson,Peter Gibson,"Gibson, Peter",Conservative,Darlington,peter.gibson.mp@parliament.uk,House of Commons,London,SW1A 0AA
Gareth,Johnson,Gareth Johnson,"Johnson, Gareth",Conservative,Dartford,gareth.johnson.mp@parliament.uk,House of Commons,London,SW1A 0AA
Christopher,Heaton-Harris,Chris Heaton-Harris,"Heaton-Harris, Chris",Conservative,Daventry,chris.heatonharris.mp@parliament.uk,House of Commons,London,SW1A 0AA
Robert,Roberts,Rob Roberts,"Roberts, Rob",Independent,Delyn,rob.roberts.mp@parliament.uk,House of Commons,London,SW1A 0AA
Andrew,Gwynne,Andrew Gwynne,"Gwynne, Andrew",Labour,Denton and Reddish,gwynnea@parliament.uk,House of Commons,London,SW1A 0AA
Amanda,Solloway,Amanda Solloway,"Solloway, Amanda",Conservative,Derby North,amanda.solloway.mp@parliament.uk,House of Commons,London,SW1A 0AA
Margaret,Beckett,Margaret Beckett,"Beckett, Margaret",Labour,Derby South,margaret.beckett.mp@parliament.uk,House of Commons,London,SW1A 0AA
Sarah,Dines,Miss Sarah Dines,"Dines, Miss Sarah",Conservative,Derbyshire Dales,sarah.dines.mp@parliament.uk,House of Commons,London,SW1A 0AA
Daniel,Kruger,Danny Kruger,"Kruger, Danny",Conservative,Devizes,danny.kruger.mp@parliament.uk,House of Commons,London,SW1A 0AA
Mark,Eastwood,Mark Eastwood,"Eastwood, Mark",Conservative,Dewsbury,mark.eastwood.mp@parliament.uk,House of Commons,London,SW1A 0AA
Nicholas ,Fletcher,Nick Fletcher,"Fletcher, Nick",Conservative,Don Valley,nick.fletcher.mp@parliament.uk,House of Commons,London,SW1A 0AA
Rosalie,Winterton,Dame Rosie Winterton,"Winterton, Dame Rosie",Labour,Doncaster Central,rosie.winterton.mp@parliament.uk,House of Commons,London,SW1A 0AA
Edward,Miliband,Edward Miliband,"Miliband, Edward",Labour,Doncaster North,ed.miliband.mp@parliament.uk,House of Commons,London,SW1A 0AA
Natalie,Elphicke,Mrs Natalie Elphicke,"Elphicke, Mrs Natalie",Conservative,Dover,natalie.elphicke.mp@parliament.uk,House of Commons,London,SW1A 0AA
Marco,Longhi,Marco Longhi,"Longhi, Marco",Conservative,Dudley North,marco.longhi.mp@parliament.uk,House of Commons,London,SW1A 0AA
Michael,Wood,Mike Wood,"Wood, Mike",Conservative,Dudley South,mike.wood.mp@parliament.uk,House of Commons,London,SW1A 0AA
Helen,Hayes,Helen Hayes,"Hayes, Helen",Labour,Dulwich and West Norwood,helen.hayes.mp@parliament.uk,House of Commons,London,SW1A 0AA
Alister,Jack,Mr Alister Jack,"Jack, Mr Alister",Conservative,Dumfries and Galloway,alister.jack.mp@parliament.uk,House of Commons,London,SW1A 0AA
David,Mundell,David Mundell,"Mundell, David",Conservative,"Dumfriesshire, Clydesdale and Tweeddale",david.mundell.mp@parliament.uk,House of Commons,London,SW1A 0AA
Stewart,Hosie,Stewart Hosie,"Hosie, Stewart",Scottish National Party,Dundee East,stewart.hosie.mp@parliament.uk,House of Commons,London,SW1A 0AA
Christopher,Law,Chris Law,"Law, Chris",Scottish National Party,Dundee West,chris.law.mp@parliament.uk,House of Commons,London,SW1A 0AA
